Date_InitialTag,Transect,TransectNum,TagNum,Species,Meter,Meters_90,Direction,MaxDiameter_cm,MaxHeight_cm,Date_DocumentedDisease,Date_DocumentedMortality,032024_Condition,032024_Percentage,March2024Notes
3/2/24,NIRVANA,1,70,MCAV,0,0.5,R,62,21,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,69,MCAV,0,4.4,R,30,7,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,68,MCAV,1.4,2.8,L,20,10,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,67,MCAV,13,9.7,R,34,47,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,66,MCAV,6,7.6,L,67,60,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,65,MCAV,22.2,0.5,L,55,18,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,64,MCAV,29.2,1,L,73,62,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,63,MCAV,40.1,0.7,L,45,21,Healthy,Healthy,Healthy,NA,growth anomaly?
3/2/24,NIRVANA,1,62,MCAV,33.2,9.7,R,50,18,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,61,MCAV,22.3,3.9,R,62,26,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,16,OFAV,1.6,0.8,L,86,32,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,17,OFAV,15.8,1.28,L,85,39,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,18,OFAV,17.25,3.79,L,82,44,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,19,OFAV,28.2,1.74,R,88,52,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,20,OFAV,20.3,4.83,R,35,0.5,Healthy,Healthy,Healthy,NA,several patches of 1 colony
3/2/24,NIRVANA,1,21,OFAV,11.2,6.9,L,44,18,Healthy,Healthy,Healthy,NA,
3/2/24,NIRVANA,1,22,OFAV,6.6,9.4,L,140,65,Healthy,Healthy,Healthy,NA,several patches of 1 colony
3/2/24,NIRVANA,1,24,OFAV,3.1,9,L,32,25,Healthy,Healthy,Healthy,NA,
